SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,PREVADMITTEDQUOTE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE,1 min,1 quarter,1 week,10 min,1 day,1 month,1 hour
SARE,TQBR,СаратЭн-ао,0.1258,10000,0.02,A,Т+: Акции и ДР - безадрес.,4,Саратовэнерго(ПАО)-ао,,FNDT,EQIN,,0.0002,0.1252,SUR,2021-06-15,4865127996,RU0009100754,SaratovEnergo ao,1-02-00132-A,0.1258,0.1258,SUR,1,3,2021-06-18,2014-06-09 13:32:00 / 2021-06-16 13:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:30:00 / 2021-06-16 13:38:02,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:00:00 / 2021-06-16 13:38:02
SAREP,TQBR,СаратЭн-ап,0.1042,10000,0.02113,A,Т+: Акции и ДР - безадрес.,4,Саратовэнерго(ПАО)-ап,,FNDT,EQIN,,0.0002,0.1034,SUR,2021-06-15,1493316000,RU0009100762,SaratovEnergo (pref),2-02-00132-A,0.1042,0.1042,SUR,2,3,2021-06-18,2014-06-09 14:27:00 / 2021-06-16 16:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:20:00 / 2021-06-16 16:12:13,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:00:00 / 2021-06-16 16:12:13
SBER,TQBR,Сбербанк,312.51,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ао,,FNDT,EQIN,,0.01,313.99,SUR,2021-06-15,21586948000,RU0009029540,Sberbank,10301481B,312.7,312.7,SUR,1,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 21:59:59,2007-07-01 00:00:00 / 2021-06-16 00:00:00,2007-07-16 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:39,2007-07-20 00:00:00 / 2021-06-16 21:56:40,2007-07-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:39
SBERP,TQBR,Сбербанк-п,291.32,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ап,,FNDT,EQIN,,0.01,292.59,SUR,2021-06-15,1000000000,RU0009029557,Sberbank (pref),20301481B,291.91,291.91,SUR,2,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 21:59:59,2007-07-01 00:00:00 / 2021-06-16 00:00:00,2007-07-16 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:39,2007-07-20 00:00:00 / 2021-06-16 21:56:40,2007-07-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:39
SELG,TQBR,Селигдар,46.5,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Селигдар""  ао",,FNDT,EQIN,,0.01,46.48,SUR,2021-06-15,842354730,RU000A0JPR50,Seligdar,1-01-32694-F,46.5,46.5,SUR,1,2,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 18:59:59,2011-10-01 00:00:00 / 2021-06-16 00:00:00,2011-12-05 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 18:49:09,2011-12-06 00:00:00 / 2021-06-16 21:56:40,2011-12-01 00:00:00 / 2021-06-16 00:00:00,2011-12-06 10:00:00 / 2021-06-16 18:49:09
SELGP,TQBR,Селигдар-п,47.25,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Селигдар"" ап",,FNDT,EQIN,,0.05,47.5,SUR,2021-06-15,150000000,RU000A0JS2J5,Seligdar ap,2-01-32694-F,47.25,47.25,SUR,2,2,2021-06-18,2012-08-01 17:48:00 / 2021-06-16 18:59:59,2012-07-01 00:00:00 / 2021-06-16 00:00:00,2012-07-30 00:00:00 / 2021-06-16 00:00:00,2012-08-01 17:40:00 / 2021-06-16 18:36:09,2012-08-01 00:00:00 / 2021-06-16 21:56:40,2012-08-01 00:00:00 / 2021-06-16 00:00:00,2012-08-01 17:00:00 / 2021-06-16 18:36:09
SFIN,TQBR,САФМАР ао,459.2,10,0.67,A,Т+: Акции и ДР - безадрес.,1,САФМАР Фин.Инвестиции ПАО ао,,FNDT,EQIN,,0.2,457.4,SUR,2021-06-15,111637791,RU000A0JVW89,SAFMAR Fin.Invest. ao,1-02-56453-P,459.2,459.2,SUR,1,1,2021-06-18,2018-01-03 09:59:00 / 2021-06-16 18:59:59,2018-01-01 00:00:00 / 2021-06-16 00:00:00,2018-01-01 00:00:00 / 2021-06-16 00:00:00,2018-01-03 09:50:00 / 2021-06-16 18:39:59,2018-01-03 00:00:00 / 2021-06-16 21:56:40,2018-01-01 00:00:00 / 2021-06-16 00:00:00,2018-01-03 09:00:00 / 2021-06-16 18:40:10
SGZH,TQBR,Сегежа,7.869,100,0.1,A,Т+: Акции и ДР - безадрес.,3,Сегежа ао,,FNDT,EQIN,,0.001,7.89,SUR,2021-06-15,15690000000,RU000A102XG9,Segezha,1-01-87154-H,7.869,7.869,SUR,1,1,2021-06-18,2021-04-28 09:59:00 / 2021-06-16 18:59:59,2021-04-01 00:00:00 / 2021-06-16 00:00:00,2021-04-26 00:00:00 / 2021-06-16 00:00:00,2021-04-28 09:50:00 / 2021-06-16 18:46:08,2021-04-28 00:00:00 / 2021-06-16 21:56:40,2021-04-01 00:00:00 / 2021-06-16 00:00:00,2021-04-28 09:00:00 / 2021-06-16 18:46:08
SIBN,TQBR,Газпрнефть,416.1,10,0.0016,A,Т+: Акции и ДР - безадрес.,2,Газпром нефть ПАО ао,,FNDT,EQIN,,0.05,417.95,SUR,2021-06-15,4741299639,RU0009062467,Gazprom neft,1-01-00146-A,416.1,416.1,SUR,1,3,2021-06-18,2014-06-09 10:23:00 / 2021-06-16 18:59:59,2003-07-01 00:00:00 / 2021-06-16 00:00:00,2003-07-07 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:20:00 / 2021-06-16 18:49:09,2003-07-10 00:00:00 / 2021-06-16 21:56:40,2003-07-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:09
SLEN,TQBR,Сахэнер ао,5.685,100,10.0,A,Т+: Акции и ДР - безадрес.,3,"ПАО ""Сахалинэнерго"" ао",,FNDT,EQIN,,0.005,5.665,SUR,2021-06-15,530244299,RU0009280465,Sakhalinenergo ao,1-03-00272-A,5.685,5.685,SUR,1,3,2021-06-18,2017-02-06 16:41:00 / 2021-06-16 18:59:59,2017-01-01 00:00:00 / 2021-06-16 00:00:00,2017-02-06 00:00:00 / 2021-06-16 00:00:00,2017-02-06 16:40:00 / 2021-06-16 18:46:08,2017-02-06 00:00:00 / 2021-06-16 21:56:40,2017-02-01 00:00:00 / 2021-06-16 00:00:00,2017-02-06 16:00:00 / 2021-06-16 18:46:08
SMLT,TQBR,Самолет ао,1660.0,1,25.0,A,Т+: Акции и ДР - безадрес.,1,ГК Самолет ао,,FNDT,EQIN,,0.2,1653.4,SUR,2021-06-15,61579358,RU000A0ZZG02,Samolet,1-01-16493-A,1660.0,1660.0,SUR,1,3,2021-06-18,2020-10-29 09:59:00 / 2021-06-16 18:59:59,2020-10-01 00:00:00 / 2021-06-16 00:00:00,2020-10-26 00:00:00 / 2021-06-16 00:00:00,2020-10-29 09:50:00 / 2021-06-16 18:35:09,2020-10-29 00:00:00 / 2021-06-16 21:56:40,2020-10-01 00:00:00 / 2021-06-16 00:00:00,2020-10-29 09:00:00 / 2021-06-16 18:35:09
SNGS,TQBR,Сургнфгз,38.37,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО акции об.,,FNDT,EQIN,,0.005,37.98,SUR,2021-06-15,35725994705,RU0008926258,Surgut,1-01-00155-A,38.07,38.07,SUR,1,2,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 21:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:55:19,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:55:19
SNGSP,TQBR,Сургнфгз-п,46.71,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО ап,,FNDT,EQIN,,0.005,46.69,SUR,2021-06-15,7701998235,RU0009029524,Surgut-pref,2-01-00155-A,46.635,46.635,SUR,2,2,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 21:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:39,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:39
STSB,TQBR,СтаврЭнСб,0.824,1000,0.0048,A,Т+: Акции и ДР - безадрес.,4,Ставрополэнергосбыт ПАО ао,,FNDT,EQIN,,0.0005,0.7845,SUR,2021-06-15,859074636,RU000A0ET1W4,StavropolEnergoSbyt,1-01-50119-A,0.8225,0.8225,SUR,1,3,2021-06-18,2014-06-11 15:22:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-11 15:20:00 / 2021-06-16 18:46:08,2014-06-11 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-11 15:00:00 / 2021-06-16 18:46:08
STSBP,TQBR,СтаврЭнСбп,0.782,1000,0.0048,A,Т+: Акции и ДР - безадрес.,4,Ставрополэнергосбыт ПАО ап,,FNDT,EQIN,,0.0005,0.7725,SUR,2021-06-15,262100364,RU000A0ET1Z7,StavropolEnergoSbyt (pref),2-01-50119-A,0.782,0.782,SUR,2,3,2021-06-18,2014-06-11 10:51:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-11 10:50:00 / 2021-06-16 18:49:09,2014-06-11 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-11 10:00:00 / 2021-06-16 18:49:09
SVAV,TQBR,СОЛЛЕРС,226.0,10,12.5,A,Т+: Акции и ДР - безадрес.,1,"ОАО ""СОЛЛЕРС"" ао",,FNDT,EQIN,,0.5,224.5,SUR,2021-06-15,34270159,RU0006914488,Sollers,1-01-02461-D,226.0,226.0,SUR,1,2,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:46:08,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:46:08
TASB,TQBR,ТамбЭнСб,0.509,10000,0.02,A,Т+: Акции и ДР - безадрес.,4,"ао""Тамбов.энергсбыт.комп.""ПАО",,FNDT,EQIN,,0.0005,0.5115,SUR,2021-06-15,1525986880,RU000A0D8NG8,Tambov EnergoSbyt Company,1-01-65100-D,0.509,0.509,SUR,1,3,2021-06-18,2014-06-09 12:25:00 / 2021-06-16 16:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:20:00 / 2021-06-16 16:59:06,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 16:59:06
TASBP,TQBR,ТамбЭнСб-п,0.4145,10000,0.02,A,Т+: Акции и ДР - безадрес.,4,"ап""Тамбов.энергсбыт.комп.""ПАО",,FNDT,EQIN,,0.0005,0.4135,SUR,2021-06-15,217961420,RU000A0D8NH6,Tambov EnergoSbyt Comp. (pref),2-01-65100-D,0.4145,0.4145,SUR,2,3,2021-06-18,2014-06-19 10:17:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 00:00:00 / 2021-06-16 00:00:00,2014-06-19 10:10:00 / 2021-06-16 18:38:10,2014-06-19 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-19 10:00:00 / 2021-06-16 18:38:10
TATN,TQBR,Татнфт 3ао,537.1,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ао",,FNDT,EQIN,,0.1,535.8,SUR,2021-06-15,2178690700,RU0009033591,Tatneft-3,1-03-00161-A,534.0,534.0,SUR,1,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 21:59:59,2002-01-01 00:00:00 / 2021-06-16 00:00:00,2001-12-31 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:39,2002-01-04 00:00:00 / 2021-06-16 21:56:40,2002-01-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:39
TATNP,TQBR,Татнфт 3ап,513.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ап 3 вып.",,FNDT,EQIN,,0.1,511.7,SUR,2021-06-15,147508500,RU0006944147,Tatneft (pref),2-03-00161-A,510.7,510.7,SUR,2,1,2021-06-18,2011-12-15 10:02:00 / 2021-06-16 21:59:59,2002-01-01 00:00:00 / 2021-06-16 00:00:00,2001-12-31 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:39,2002-01-04 00:00:00 / 2021-06-16 21:56:40,2002-01-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:39
TCSG,TQBR,TCS-гдр,5532.2,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР TCS Group Holding ORD SHS,,FNDT,EQIN,,0.2,5637.6,USD,2021-06-15,0,US87238U2033,GDR TCS Group Holding ORD SHS,,5512.0,5512.0,SUR,D,1,2021-06-18,2019-10-28 09:59:00 / 2021-06-16 21:59:59,2019-10-01 00:00:00 / 2021-06-16 00:00:00,2019-10-28 00:00:00 / 2021-06-16 00:00:00,2019-10-28 09:50:00 / 2021-06-16 21:56:39,2019-10-28 00:00:00 / 2021-06-16 21:56:40,2019-10-01 00:00:00 / 2021-06-16 00:00:00,2019-10-28 09:00:00 / 2021-06-16 21:56:39
TGKA,TQBR,ТГК-1,0.01273,100000,0.01,A,Т+: Акции и ДР - безадрес.,6,"ао ПАО ""ТГК-1""",,FNDT,EQIN,,2e-06,0.012748,SUR,2021-06-15,3854341416571,RU000A0JNUD0,TGK-1,1-01-03388-D,0.01273,0.01273,SUR,1,1,2021-06-18,2011-12-15 10:03:00 / 2021-06-16 18:59:59,2009-07-01 00:00:00 / 2021-06-16 00:00:00,2009-07-20 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 18:47:19,2009-07-21 00:00:00 / 2021-06-16 21:56:40,2009-07-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:47:19
TGKB,TQBR,ТГК-2,0.004415,1000000,0.01,A,Т+: Акции и ДР - безадрес.,6,"ао ПАО ""ТГК-2""",,FNDT,EQIN,,5e-06,0.004425,SUR,2021-06-15,1458404850747,RU000A0JNGS7,TGK-2,1-01-10420-A,0.004415,0.004415,SUR,1,3,2021-06-18,2014-06-09 11:02:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:18:08,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:18:08
TGKBP,TQBR,ТГК-2 ап,0.00692,100000,0.01,A,Т+: Акции и ДР - безадрес.,5,"ап ПАО ""ТГК-2""",,FNDT,EQIN,,1e-05,0.0069,SUR,2021-06-15,16500533681,RU000A0JNGT5,TGK-2 pref,2-01-10420-A,0.00692,0.00692,SUR,2,3,2021-06-18,2014-06-09 13:55:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:50:00 / 2021-06-16 18:29:59,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:00:00 / 2021-06-16 18:30:09
TGKD,TQBR,Квадра,0.00691,100000,0.01,A,Т+: Акции и ДР - безадрес.,6,Квадра ПАО ао,,FNDT,EQIN,,5e-06,0.00691,SUR,2021-06-15,1912495577759,RU000A0JNMZ0,Kvadra,1-01-43069-A,0.00691,0.00691,SUR,1,3,2021-06-18,2011-12-15 11:42:00 / 2021-06-16 18:59:59,2008-07-01 00:00:00 / 2021-06-16 00:00:00,2008-07-28 00:00:00 / 2021-06-16 00:00:00,2011-12-08 14:40:00 / 2021-06-16 18:46:08,2008-08-01 00:00:00 / 2021-06-16 21:56:40,2008-08-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:46:08
TGKDP,TQBR,Квадра-п,0.00605,100000,0.01,A,Т+: Акции и ДР - безадрес.,6,Квадра ПАО ап,,FNDT,EQIN,,5e-06,0.00606,SUR,2021-06-15,75272938838,RU000A0JNNB9,Kvadra (pref),2-01-43069-A,0.00605,0.00605,SUR,2,3,2021-06-18,2014-06-09 11:37:00 / 2021-06-16 17:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:30:00 / 2021-06-16 17:31:07,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 17:31:07
TGKN,TQBR,ТГК-14,0.00295,1000000,0.001,A,Т+: Акции и ДР - безадрес.,5,"ао ПАО ""ТГК-14""",,FNDT,EQIN,,1e-05,0.00295,SUR,2021-06-15,1357945609114,RU000A0H1ES3,TGK-14,1-01-22451-F,0.00295,0.00295,SUR,1,2,2021-06-18,2014-06-09 12:01:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 18:06:13,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 18:06:13
TNSE,TQBR,ТНСэнрг ао,985.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ГК ""ТНС энерго"" ао",,FNDT,EQIN,,5.0,990.0,SUR,2021-06-15,13668239,RU000A0JUCQ5,"PAO GK ""TNS energo"" ao",1-01-15521-A,985.0,985.0,SUR,1,3,2021-06-18,2015-06-17 10:02:00 / 2021-06-16 18:59:59,2015-04-01 00:00:00 / 2021-06-16 00:00:00,2015-06-15 00:00:00 / 2021-06-16 00:00:00,2015-06-17 10:00:00 / 2021-06-16 18:46:08,2015-06-17 00:00:00 / 2021-06-16 21:56:40,2015-06-01 00:00:00 / 2021-06-16 00:00:00,2015-06-17 10:00:00 / 2021-06-16 18:46:08
TORS,TQBR,ТРК ао,0.375,10000,0.4916,A,Т+: Акции и ДР - безадрес.,3,"ао ""Томская распределит.комп.""",,FNDT,EQIN,,0.001,0.366,SUR,2021-06-15,3819315580,RU000A0ETZF2,Tomsk raspredelit. komp ao,1-01-50128-A,0.366,0.366,SUR,1,3,2021-06-18,2014-06-09 13:17:00 / 2021-06-16 14:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:10:00 / 2021-06-16 14:59:59,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:00:00 / 2021-06-16 14:59:59
TORSP,TQBR,ТРК ап,0.277,10000,0.4916,A,Т+: Акции и ДР - безадрес.,4,"ап ""Томская распределит.комп.""",,FNDT,EQIN,,0.0005,0.277,SUR,2021-06-15,576693000,RU000A0ETZM8,Tomsk raspredelit. komp ap,2-01-50128-A,0.277,0.277,SUR,2,3,2021-06-18,2014-06-10 12:18:00 / 2021-06-16 15:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-10 12:10:00 / 2021-06-16 15:53:04,2014-06-10 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-10 12:00:00 / 2021-06-16 15:53:04
TRCN,TQBR,ТрансК ао,8595.0,1,1000.0,N,Т+: Акции и ДР - безадрес.,0,ТрансКонтейнер ПАО ао,,FNDT,EQIN,,5.0,8595.0,SUR,2021-06-15,13894778,RU000A0JPRX9,TransKonteiner ao,1-01-55194-E,8595.0,8595.0,SUR,1,3,2021-06-18,2014-06-09 10:41:00 / 2020-07-14 18:18:00,2014-04-01 00:00:00 / 2020-07-01 00:00:00,2014-06-09 00:00:00 / 2020-07-13 00:00:00,2014-06-09 10:40:00 / 2020-07-14 18:10:00,2014-06-09 00:00:00 / 2020-07-14 00:00:00,2014-06-01 00:00:00 / 2020-07-01 00:00:00,2014-06-09 10:00:00 / 2020-07-14 18:00:00
TRFM,TQBR,ТрансФ ао,,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,ПАО ТрансФин-М ао,,FNDT,EQIN,,2e-05,,SUR,2021-06-15,156300000000,RU000A0JUGP8,TransFin-M,1-01-50156-A,,,SUR,1,3,2021-06-18,,,,,,,
TRMK,TQBR,ТМК ао,73.86,10,10.0,A,Т+: Акции и ДР - безадрес.,2,ПАО ТМК,,FNDT,EQIN,,0.02,74.38,SUR,2021-06-15,1033135366,RU000A0B6NK6,TMK ao,1-01-29031-H,73.86,73.86,SUR,1,2,2021-06-18,2011-12-15 10:09:00 / 2021-06-16 18:59:59,2009-07-01 00:00:00 / 2021-06-16 00:00:00,2009-07-13 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 18:47:19,2009-07-14 00:00:00 / 2021-06-16 21:56:40,2009-07-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:47:19
TRNFP,TQBR,Транснф ап,168450.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Транснефть ПАО акц.пр.,,FNDT,EQIN,,50.0,168850.0,SUR,2021-06-15,1554875,RU0009091573,Transneft (pref),2-01-00206-A,168200.0,168200.0,SUR,2,1,2021-06-18,2013-12-16 10:00:00 / 2021-06-16 21:59:59,2013-10-01 00:00:00 / 2021-06-16 00:00:00,2013-12-16 00:00:00 / 2021-06-16 00:00:00,2013-12-16 10:00:00 / 2021-06-16 21:56:19,2013-12-16 00:00:00 / 2021-06-16 21:56:40,2013-12-01 00:00:00 / 2021-06-16 00:00:00,2013-12-16 10:00:00 / 2021-06-16 21:56:19
TTLK,TQBR,Таттел. ао,0.631,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,"""Таттелеком"" ПАО ао",,FNDT,EQIN,,0.0005,0.6335,SUR,2021-06-15,20843976400,RU000A0HM5C1,Tattelekom,1-02-50049-A,0.631,0.631,SUR,1,3,2021-06-18,2014-06-09 14:32:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:30:00 / 2021-06-16 18:46:09,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:00:00 / 2021-06-16 18:46:09
TUZA,TQBR,ТЗА ао,96.0,10,10.0,A,Т+: Акции и ДР - безадрес.,1,Туймаз. завод автобетоновозов,,FNDT,EQIN,,0.5,95.5,SUR,2021-06-15,8220000,RU000A0HL7A2,Tuimaz. Zavod Avtobetonovozov,1-01-30455-D,96.0,96.0,SUR,1,3,2021-06-18,2014-06-09 17:56:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 17:50:00 / 2021-06-16 18:46:09,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 17:00:00 / 2021-06-16 18:46:09
UCSS,TQBR,ОКС ао,1080.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,ПАО ОКС ао,,FNDT,EQIN,,10.0,1080.0,SUR,2021-06-15,23718856,RU000A0JTQK0,PAO OKS ao,1-01-15296-A,1080.0,1080.0,SUR,1,3,2021-06-18,2014-09-29 17:04:00 / 2021-06-16 18:59:59,2014-07-01 00:00:00 / 2021-06-16 00:00:00,2014-09-29 00:00:00 / 2021-06-16 00:00:00,2014-09-29 17:00:00 / 2021-06-16 18:49:09,2014-09-29 00:00:00 / 2021-06-16 21:56:40,2014-09-01 00:00:00 / 2021-06-16 00:00:00,2014-09-29 17:00:00 / 2021-06-16 18:49:09
UKUZ,TQBR,ЮжКузб. ао,602.0,1,0.04,A,Т+: Акции и ДР - безадрес.,0,Южный Кузбасс ПАО ао,,FNDT,EQIN,,2.0,602.0,SUR,2021-06-15,36109217,RU0005294775,Uzhnyi Kuzbass,1-02-10591-F,602.0,602.0,SUR,1,3,2021-06-18,2014-06-09 15:56:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 15:50:00 / 2021-06-16 18:31:09,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 15:00:00 / 2021-06-16 18:31:09
UNAC,TQBR,iАвиастКао,0.597,1000,0.86,A,Т+: Акции и ДР - безадрес.,4,Об.авиастр.корп. ПАО ао,,FNDT,EQIN,,0.0005,0.603,SUR,2021-06-15,520795137209,RU000A0JPLZ7,Ob.aviastroitelnaya korp.,1-02-55306-E,0.597,0.597,SUR,1,3,2021-06-18,2014-06-09 12:15:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:10:00 / 2021-06-16 18:46:07,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 18:46:07
